ID,Source,Authors_Actual,Title_Actual,Venue_Actual,Verdict,Error_Type,Notes
S-01,PRISMA 2020 (BMJ n71),Page MJ et al.,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,BMJ 2021;372:n71,EXACT,,Confirmed via PubMed PMID:33782057 and prisma-statement.org
S-02,PRISMA-trAIce (JMIR AI 2025),"Holst D, Moenck K, Koch J, Schmedemann O, Schuppstuhl T",Transparent Reporting of AI in SLRs: Development of the PRISMA-trAIce Checklist,JMIR AI 2025;4:e80247,EXACT,,Confirmed via JMIR AI and PubMed PMID:41370833
S-03,citecheck (arXiv:2603.17339),Lee J,citecheck: An MCP Server for Automated Bibliographic Verification and Repair in Scholarly Manuscripts,arXiv:2603.17339 (cs.DL),EXACT,,Confirmed via arXiv. Submitted March 2026
S-04,SemanticCite (arXiv:2511.16198),Haan S,SemanticCite: Citation Verification with AI-Powered Full-Text Analysis and Evidence-Based Reasoning,arXiv:2511.16198 (cs.CL),EXACT,,Confirmed via arXiv. 21 pages 4 figures
S-05,Citation Auditing (arXiv:2511.04683),Janse van Rensburg LJ,AI-Powered Citation Auditing: A Zero-Assumption Protocol for Systematic Reference Verification,arXiv:2511.04683,EXACT,,Confirmed via arXiv. Zero-assumption verification protocol
S-06,arxiv.py (PyPI),Schwab L,arxiv.py: Python wrapper for the arXiv API,PyPI / GitHub,EXACT,,Confirmed via pypi.org/project/arxiv/ and github.com/lukasschwab/arxiv.py
S-07,Semantic Scholar API,Allen Institute for AI,Semantic Scholar Academic Graph API,api.semanticscholar.org,EXACT,,Real API confirmed with full documentation
S-08,Research Debt (Olah Distill 2017),"Olah C, Carter S",Research Debt,Distill 2017. DOI: 10.23915/distill.00005,EXACT,,Confirmed via distill.pub/2017/research-debt/
S-09,Papers With Code,Meta AI / community,Papers With Code,paperswithcode.com,EXACT,,Real platform. 65k+ papers indexed
C-01,Ioannidis (2016) Milbank Q,Ioannidis JPA,The Mass Production of Redundant Misleading and Conflicted Systematic Reviews and Meta-analyses,Milbank Q 2016;94(3):485-514,EXACT,,Confirmed via PubMed PMID:27620683 and Wiley
C-02,SLR problems (JCE 2023),"Uttley L, Quintana DS, Montgomery P, Carroll C, Page MJ, Falzon L, Sutton A, Moher D",The problems with systematic reviews: a living systematic review,J Clin Epidemiol 2023;156:30-41,PARTIAL,claim_inflation,Paper found 67 discrete problems. Commonly inflated to 90% useless
C-03,Research bureaucracy (FAS),FAS,Measuring Research Bureaucracy to Boost Scientific Efficiency,fas.org,EXACT,,Confirmed. 44% research time on admin. 29 to 255 rules in two decades
C-04,Automation Bias (PubMed 2016),Goddard et al. / Lyell & Coiera,Automation bias: a systematic review / Automation bias and verification complexity,JAMIA 2012 / JAMIA 2017,PARTIAL,metadata_error,Real concept but wrong year/venue. Actual: Goddard et al. JAMIA 2012 or Lyell & Coiera JAMIA 2017
C-05,Robotic Bureaucracy (Res Policy 2020),"Bozeman B, Youtie J, Jung J",Robotic Bureaucracy and Administrative Burden: What Are the Effects of Universities Computer Automated Research Grants Management Systems?,Research Policy 2020;49(6):103980,EXACT,,Confirmed via ScienceDirect and ASU Pure
C-06,Cognitive Debt (Storey+Ernst 2025),Storey MA (sole author),From Technical Debt to Cognitive and Intent Debt: Rethinking Software Health in the Age of AI,arXiv:2603.22106 (March 2026),ERROR,author_conflation,Two different authors/papers merged. Storey alone (2026) not Storey+Ernst (2025). Ernst on separate paper C-07
C-07,Research SW Tech Debt (arXiv:2603.20415),"Ernst NA, Awon AM, Hingmire S, Li ZS",The Nature of Technical Debt in Research Software,arXiv:2603.20415,EXACT,,Confirmed via arXiv. Nine types of self-admitted technical debt
C-08,Budgen (2015) 47 vs 38,Not found,Not found,N/A,ERROR,misattribution,No Budgen (2015) paper with 47 vs 38. EBSE book by Kitchenham/Budgen/Brereton (2015) exists but numbers unverifiable
