ID,Authors_Catalog,Title_Catalog,Venue_Catalog,Year,ArXiv_ID,Authors_Actual,Title_Actual,Venue_Actual,Verdict,Error_Type,MA_Verified,Notes
A1,"Du et al.","Improving Factuality and Reasoning in LMs through Multiagent Debate","ICML 2024",2023,2305.14325,"Yilun Du, Shuang Li, Antonio Torralba, Joshua B. Tenenbaum, Igor Mordatch","Improving Factuality and Reasoning in Language Models through Multiagent Debate","ICML 2024",EXACT,,Yes,""
A2,"Liang et al.","Encouraging Divergent Thinking in LLMs through Multi-Agent Debate","EMNLP 2024",2023,2305.19118,"Tian Liang, Zhiwei He, Wenxiang Jiao, Xing Wang, Yan Wang, Rui Wang, Yujiu Yang, Shuming Shi, Zhaopeng Tu","Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate","EMNLP 2024",EXACT,,Yes,""
A3,"Hegazy","Diversity of Thought Elicits Stronger Reasoning in Multi-Agent Debate","arXiv",2024,2410.12853,"Mahmood Hegazy","Diversity of Thought Elicits Stronger Reasoning Capabilities in Multi-Agent Debate Frameworks","JRAR Vol.5 Issue 3",PARTIAL,venue_missing,Yes,"Published in JRAR but catalog says arXiv"
A4,"Wang et al.","Mixture-of-Agents Enhances LLM Capabilities","arXiv",2024,2406.04692,"Junlin Wang, Jue Wang, Ben Athiwaratkun, Ce Zhang, James Zou","Mixture-of-Agents Enhances Large Language Model Capabilities","arXiv",EXACT,,No,""
B1,"Qian et al.","Scaling LLM-based Multi-Agent Collaboration","ICLR 2025",2024,2406.07155,"Chen Qian, Zihao Xie et al.","Scaling Large Language Model-based Multi-Agent Collaboration","ICLR 2025",EXACT,,Yes,""
B2,"Li et al.","More Agents Is All You Need","arXiv",2024,2402.05120,"Junyou Li, Qin Zhang, Yangbin Yu, Qiang Fu, Deheng Ye","More Agents Is All You Need","TMLR",PARTIAL,venue_missing,No,"Published in TMLR but catalog says arXiv"
C1,"Han & Zhang","Exploring Advanced LLM MAS Based on Blackboard Architecture","arXiv",2025,2507.01701,"Bochen Han, Songmao Zhang","Exploring Advanced LLM Multi-Agent Systems Based on Blackboard Architecture","arXiv",EXACT,,Yes,""
C2,"Li et al.","LLM-Based Multi-Agent Blackboard System for Info Discovery in DS","arXiv",2025,2510.01285,"Alireza Salemi, Mihir Parmar, Palash Goyal, Yiwen Song, Jinsung Yoon, Hamed Zamani, Tomas Pfister, Hamid Palangi","LLM-Based Multi-Agent Blackboard System for Information Discovery in Data Science","arXiv",FAIL,author_wrong,No,"No Li in author list. First author is Salemi."
D1,"Hong et al.","MetaGPT: Meta Programming for Multi-Agent Collaborative Framework","ICLR 2024",2023,2308.00352,"Sirui Hong et al.","MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework","ICLR 2024 Oral",EXACT,,No,""
D2,"Qian et al.","ChatDev: Communicative Agents for Software Development","ACL 2024",2023,2307.07924,"Chen Qian, Wei Liu et al.","ChatDev: Communicative Agents for Software Development","ACL 2024",EXACT,,No,""
D3,"Chen et al.","AgentVerse: Facilitating Multi-Agent Collaboration","arXiv",2023,2308.10848,"Weize Chen et al.","AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors","arXiv",EXACT,,No,""
E1,"La Malfa et al.","Large Language Models Miss the Multi-Agent Mark","NeurIPS 2025",2025,2505.21298,"Emanuele La Malfa et al.","Large Language Models Miss the Multi-Agent Mark","NeurIPS 2025 Position",EXACT,,No,""
E2,"Google DeepMind","Towards a Science of Scaling Agent Systems","arXiv",2025,2512.08296,"Yubin Kim et al. (multi-institutional)","Towards a Science of Scaling Agent Systems","arXiv",EXACT,,Yes,""
E3,"Li et al.","Rethinking Mixture-of-Agents","arXiv",2025,2502.00674,"Wenzhe Li, Yong Lin, Mengzhou Xia, Chi Jin","Rethinking Mixture-of-Agents: Is Mixing Different Large Language Models Beneficial?","arXiv",EXACT,,No,""
