ID,Paper_Title,ArXiv_URL,Claim_Text,Claim_Type,Citing_Location
EVAL-01,"Du et al. - Improving Factuality through Multiagent Debate",https://arxiv.org/abs/2305.14325,"3 agents x 2 rounds debate improves accuracy by +7-16pp over single agent (Arithmetic: 67->81.8, GSM8K: 77->85, MMLU: 63.9->71.1)",factual_number,meta-architect/research/papers.yaml:17-19
EVAL-02,"Liang et al. - Encouraging Divergent Thinking in LLMs through Multi-Agent Debate",https://arxiv.org/abs/2305.19118,"Degeneration-of-Thought (DoT): LLM commits to answer and reflection cannot shift thinking. MAD framework uses tit-for-tat debate + judge to counter this",empirical_finding,meta-architect/research/papers.yaml:36-38
EVAL-03,"Wang et al. - Mixture-of-Agents Enhances LLM Capabilities",https://arxiv.org/abs/2406.04692,"Collaborativeness phenomenon: LLMs produce better output when seeing other models' outputs",empirical_finding,meta-architect/research/papers.yaml:76
EVAL-04,"Li et al. - More Agents Is All You Need",https://arxiv.org/abs/2402.05120,"Small model x many agents > large model x few agents (under certain conditions). More agents + sampling-and-voting -> consistent improvement",empirical_finding,meta-architect/research/papers.yaml:115-116
EVAL-05,"La Malfa et al. - Large Language Models Miss the Multi-Agent Mark",https://arxiv.org/abs/2505.21298,"60+ papers analyzed: most MAS LLM lack autonomy, social interaction, structured environment. Natural language coordination is ambiguous/lossy",design_criticism,meta-architect/research/papers.yaml:219-220
EVAL-06,"Google DeepMind - Towards a Science of Scaling Agent Systems",https://arxiv.org/abs/2512.08296,"Coordination cost T=2.72*(n+0.5)^1.724. Effective team size ~3-4 agents. Single agent accuracy >45% needed for diminishing returns",factual_number,meta-architect/research/papers.yaml:237-240
EVAL-07,"Li et al. - Rethinking Mixture-of-Agents",https://arxiv.org/abs/2502.00674,"Self-MoA (same model) > MoA (different models) on AlpacaEval 2.0 by +6.6%. Quality trumps diversity",empirical_finding,meta-architect/research/papers.yaml:257-259
EVAL-08,"Smit et al. - Should we be going MAD?",https://arxiv.org/abs/2311.17371,"MAD is highly sensitive to hyperparameters. Basic MAD often doesn't beat self-consistency",empirical_finding,meta-architect/research/papers.yaml:293-294
EVAL-09,"Wynn et al. - Talk Isn't Always Cheap: Failure Modes in Multi-Agent Debate",https://arxiv.org/abs/2509.05396,"Debate can REDUCE accuracy even when strong model is majority. Models switch correct->incorrect prioritizing agreement over accuracy. Echo chamber effect",empirical_finding,meta-architect/research/papers.yaml:311-313
EVAL-10,"Han & Zhang - Exploring Advanced LLM MAS Based on Blackboard Architecture",https://arxiv.org/abs/2507.01701,"Competitive with SOTA MAS on commonsense/reasoning/math benchmarks while using fewer tokens",system_comparison,meta-architect/research/papers.yaml:135
EVAL-11,"Liu et al. - Lost in the Middle: How Language Models Use Long Contexts",https://arxiv.org/abs/2307.03172,"Middle position information causes 30%+ accuracy drop in long contexts",empirical_finding,meta-architect/research/papers.yaml:449
EVAL-12,"MAJ-Eval: Multi-Agent-as-Judge",https://arxiv.org/abs/2507.21028,"Achieves Spearman rho 0.47 (vs baseline 0.15-0.36) via auto persona extraction + multi-agent in-group debate + aggregator",system_design,meta-architect/research/papers.yaml:428-429
