id,source,verdict,error_type,level1_caught,details
S-01,PRISMA 2020 (BMJ n71),EXACT,,n/a,"Page MJ et al. BMJ 2021;372:n71. DOI: 10.1136/bmj.n71"
S-02,PRISMA-trAIce (JMIR AI 2025),EXACT,,n/a,"Holst D et al. JMIR AI 2025;4:e80247. DOI: 10.2196/80247"
S-03,citecheck (arXiv:2603.17339),EXACT,,n/a,"Lee J. MCP server for bibliographic verification"
S-04,SemanticCite (arXiv:2511.16198),EXACT,,n/a,"Haan S. 4-class citation verification. GitHub exists"
S-05,Citation Auditing (arXiv:2511.04683),EXACT,,n/a,"Zero-assumption verification protocol"
S-06,arxiv.py (PyPI),EXACT,,n/a,"Real PyPI package"
S-07,Semantic Scholar API,EXACT,,n/a,"Real API at api.semanticscholar.org"
S-08,Research Debt (Olah Distill 2017),UNVERIFIED,procedural_gap,no,"Not searched in initial session. Later confirmed DOI 10.23915/distill.00005"
S-09,Papers With Code,EXACT,,n/a,"Real platform. Specific numbers not verified"
C-01,Ioannidis (2016) Milbank Q,EXACT,,n/a,"Milbank Q 2016;94(3):485-514. DOI: 10.1111/1468-0009.12210"
C-02,SLR problems (JCE 2023),PARTIAL,claim_inflation,yes,"Uttley L et al. J Clin Epidemiol 2023;156:30-41. 67 problems not 90% useless"
C-03,Research bureaucracy (FAS),EXACT,,n/a,"FAS confirms 44% research time on admin"
C-04,Automation Bias (PubMed 2016),PARTIAL,metadata_error,yes,"Real concept but wrong year/venue. Actual: Goddard et al. JAMIA 2012"
C-05,Robotic Bureaucracy (Res Policy 2020),EXACT,,n/a,"Bozeman et al. Research Policy 2020;49(6):103980"
C-06,Cognitive Debt (Storey+Ernst 2025),ERROR,author_conflation,yes,"Two different authors/papers merged. Year wrong (2026 not 2025)"
C-07,Research SW Tech Debt (arXiv:2603.20415),EXACT,,n/a,"Ernst NA et al. arXiv:2603.20415"
C-08,Budgen (2015) 47 vs 38,ERROR,misattribution,yes,"Wohlin (2014) / Badampudi (2015) not Budgen. Numbers unverifiable"
